team,HomeRecord,HomeMargin,AwayRecord,AwayMargin,TrueHomeCourtAdvantage
Denver,57-17,9.18,19-52,-4.87,7.03
Arkansas,45-23,5.29,14-54,-7.97,6.63
Oklahoma St.,53-17,6.43,16-56,-6.61,6.52
Missouri,58-15,9.37,24-46,-3.57,6.47
Wake Forest,40-26,0.33,10-61,-11.94,6.14
Nebraska,38-32,0.69,14-55,-10.8,5.75
Kansas St.,54-17,8.86,33-36,-2.58,5.72
Toledo,44-23,2.49,19-50,-8.93,5.71
New Mexico St.,70-9,11.18,33-31,-0.22,5.7
Missouri St.,51-25,5.89,23-52,-5.2,5.55
South Dakota St.,49-20,8.59,27-41,-2.41,5.5
Wyoming,35-32,-0.06,11-54,-11.02,5.48
Texas,57-16,8.66,30-40,-2.21,5.44
Houston,46-19,5.15,20-53,-5.66,5.41
Xavier,63-8,12.97,38-29,2.27,5.35
Louisiana Tech,42-25,5.48,23-43,-5.15,5.32
Iowa St.,43-27,3.04,16-55,-7.59,5.32
Illinois St.,52-21,5.82,21-56,-4.74,5.28
Oklahoma,45-25,4.29,21-49,-6.27,5.28
Colorado,43-28,2.11,19-55,-8.34,5.23
Colorado St.,38-30,2.51,17-50,-7.87,5.19
Clemson,48-20,6.44,21-48,-3.93,5.19
Kansas,72-4,17.28,51-17,6.93,5.18
Gonzaga,66-2,19.18,48-14,8.84,5.17
Iowa,41-33,2.27,15-60,-8.05,5.16
Charleston Southern,42-27,3.94,17-54,-6.34,5.14
Evansville,43-31,1.42,14-62,-8.75,5.09
Notre Dame,60-14,7.27,29-45,-2.89,5.08
George Washington,40-26,4.11,21-47,-5.96,5.04
Bradley,42-31,2.04,18-57,-7.99,5.02
Utah,41-28,2.04,16-57,-7.99,5.02
Hawaii,35-28,2.65,19-48,-7.18,4.92
Maryland,47-22,5.33,24-46,-4.46,4.9
Marshall,43-23,3.85,24-48,-5.92,4.89
Indiana St.,52-24,3.17,24-52,-6.54,4.86
Alabama,54-17,4.72,14-54,-4.99,4.86
Memphis,73-5,16.45,54-14,6.76,4.85
Texas A&M,44-23,5.46,29-45,-4.18,4.82
