rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Houston,B12,17-2,118.91481014222228,18,83.90409981120506,1,0.9821970555806876,1,27.61711321586264,3.382886784137361,14.617113215862638,3.382886784137361,4-2,0.6050803259763152,0.5109917668876969,0.8089388706683218,0.6952885647416107,0.5109917668876968,0.8283918076361041,0.6869782063503633,0.8290380744566515,109.73859746428795,103.6392107655352,111.17449583178824,101.18246062283927,118.38334304375059,85.56944809938727,122.0021318825567,90.31302880098023,0.9694896264715697,7,-0.028610941012517155,418.0,344.0,378.1125,1.1054910906145656,0.9097821415583986,0.8381182761199951,0.6666666666666666,4.34648752374472,3,233,63.64634654708742
2,Purdue,B10,18-2,127.7338945106657,1,93.7957151604672,6,0.9721193240717154,2,27.392612442460546,3.6073875575394543,16.392612442460546,3.6073875575394543,7-2,0.7231125929035371,0.6717676636642329,0.7858675064182431,0.7473007047546047,0.6717676636642329,0.7888438773543095,0.6652315696180251,0.6834406480692213,113.36950378454182,102.11484789182363,113.52245237903621,101.248891701743,128.84211549020284,95.12998230397447,131.7769555649066,102.90598621895732,0.9450020864004589,9,0.030711707537707134,762.0,660.0,627.1625,1.2149961134474716,1.05235883841907,0.7912790899383636,0.7777777777777778,6.6806404198185225,1,118,68.17093109261826
3,Auburn,SEC,16-3,122.55691376383406,5,93.92019791146238,8,0.9552334991171689,3,25.240482973512382,5.759517026487615,14.240482973512387,3.759517026487614,5-1,0.5901860880211243,0.5315816382796746,0.7171623957942651,0.6703108756833109,0.5315816382796749,0.7705042138081593,0.7323648115381086,0.8451181654748705,108.04651712544641,103.99351906247189,110.735312304455,102.50138749615091,117.0511295459181,87.93445506293064,111.7783464060854,93.23954279555215,0.8894837257714643,2,-0.05143933479293672,479.0,387.0,422.1875,1.1345669874167283,0.9166543301258328,0.7971751228151064,0.8333333333333334,2.3493418824866623,14,277,70.23351444383246
4,Tennessee,SEC,14-4,118.36079154140481,21,92.08948456062869,4,0.9471616565532598,4,24.06260990050096,6.937390099499041,14.062609900500963,3.9373900994990403,4-1,0.6807735676131865,0.6161837804710933,0.8487070141826287,0.7097375002112164,0.6161837804710935,0.7773040755790828,0.6704751602166418,0.7052427300384406,112.86999739610472,102.91119819075786,113.4731039716962,102.37313016137522,122.32089551411416,90.72736629099184,125.5577246627427,98.95299059331123,0.9392542008749991,9,-0.0002816361889116381,423.0,357.0,363.325,1.164246886396477,0.9825913438381615,0.7498414068854116,0.8,3.5461686839867994,7,172,69.79175945484016
5,Alabama,SEC,13-6,126.46490136356778,2,99.71165063632307,53,0.9389658894411564,5,21.439245605882096,9.56075439411791,13.439245605882089,4.56075439411791,5-1,0.7022525606685193,0.6717486881515311,0.7683442844553269,0.7465526154837743,0.6717486881515307,0.800577674112617,0.6482402911369429,0.7086083805332005,113.55080851169096,102.27530623489714,114.28492830466251,101.23706541897738,118.36896652686062,97.18279168282855,130.71315800899535,108.58042820654265,0.8941085184911114,9,-0.0705642736506219,477.0,437.0,428.26249999999993,1.113802866232743,1.0204022065905842,0.8166943689412621,0.8333333333333334,1.9678129704415586,22,309,72.05314883463002
6,Arizona,P12,14-5,121.09366781042507,11,95.75349671195934,15,0.9370297687622018,6,23.51628268565078,7.483717314349217,14.516282685650785,5.483717314349219,5-3,0.6716428350634672,0.6325229951704976,0.7254326149163004,0.6996514369012585,0.6325229951704979,0.7365720798531767,0.7085888597153174,0.6836650158772283,112.35791993412428,103.22370823912476,112.19383296854095,102.42404215599439,120.85411845510221,99.02666670589583,121.64316891566506,89.48197903926742,0.9715606126990624,9,-0.0429941175384938,680.0,598.0,583.9375,1.1645081879481964,1.0240822005779728,0.7439983898110943,0.625,2.459337197792369,13,262,73.36805553182897
7,Iowa St.,B12,15-4,116.14132925672737,39,91.95796970204051,2,0.9361342762717955,7,22.975091220355925,8.024908779644068,11.975091220355932,6.024908779644069,4-2,0.5202119283773613,0.37201869034095203,0.8412972774562482,0.6441571531167082,0.3720186903409522,0.8407015984547541,0.6996748171537102,0.9042453305815978,106.46324731635374,104.77309526611322,109.63229759059465,101.87533905876782,115.01654863413977,89.61627522740729,116.91262813070952,92.98062988496376,0.933012372038462,4,-0.04243783542282342,409.0,392.0,399.54999999999995,1.0236516080590665,0.9811037417094232,0.8404037589540073,0.6666666666666666,1.4938091376025469,31,261,69.22358814638403
8,Connecticut,BE,17-2,124.0118476476382,3,98.3311559268598,37,0.9351370246771058,8,25.85309238450568,5.146907615494319,15.85309238450568,4.146907615494318,7-1,0.5723033276628031,0.4599481524017261,0.7267916936467842,0.6504351299393404,0.4599481524017261,0.7552029675850284,0.7007995613044503,0.7817934693900628,108.22522638823826,105.23714973891299,109.98284113333337,103.10195420390541,120.23997419320864,97.73396892500426,123.97441081648898,96.64489719688459,0.9460309924447567,10,0.10020736503227667,590.0,532.0,511.7375,1.1529348542954152,1.0395954957375608,0.7741438168771911,0.875,4.811230459621099,2,33,64.8647590863373
9,North Carolina,ACC,16-3,118.07913378792426,22,93.8221351319356,7,0.9336695475993464,9,25.213757021972942,5.786242978027056,17.21375702197295,2.786242978027056,8-0,0.65918365312893,0.6112047808312139,0.7251546025382896,0.7029401369960432,0.6112047808312141,0.7533945828866991,0.7140027474554863,0.7419644977406157,110.99095780087232,103.17080046986443,111.50163307043157,102.000134748322,111.77447845887296,86.3057485668631,127.0160876884969,101.02732859951122,0.932931104073321,6,0.044664079600414186,630.0,503.0,570.35,1.1045849040063118,0.8819146138336109,0.7722212364523054,1.0,4.063962808130456,4,96,71.01100665032637
10,BYU,B12,14-5,121.10205817994625,10,96.49687839020672,25,0.9316244415593734,10,22.670528258077667,8.329471741922335,10.670528258077665,7.329471741922335,2-4,0.5637833933009463,0.4141766902267454,0.887931249961715,0.653426644277934,0.4141766902267454,0.8262182777593478,0.7127530968374264,0.8783141601196486,107.91593648828757,104.13859219336302,109.50325257409276,101.8594023240631,119.7653383329871,97.0148768935964,127.06228043414805,102.93471944962084,0.9184669326324033,7,-0.06700126908480186,428.0,442.0,413.09999999999997,1.0360687484870492,1.0699588477366255,0.7953617916581641,0.3333333333333333,1.182798236428169,35,304,69.06862236298683
11,Illinois,B10,14-5,122.42018483122484,6,99.01395432947024,44,0.9198479132493688,11,22.016693205596766,8.98330679440323,13.01669320559677,6.983306794403231,5-3,0.6057464787305085,0.475028427972374,0.7854837985229429,0.6811298091386797,0.47502842797237416,0.7944855687801475,0.7004226515530804,0.8279414384012715,108.64108449447016,102.5786623853801,111.37767260881087,101.87045330061588,125.32460269172617,99.12737468228794,132.27743867972774,111.66464288598716,0.8752410832344191,6,-0.042307572081258016,653.0,583.0,560.85,1.1643041811536061,1.0394936257466345,0.8004867489516174,0.625,1.3397762055064169,33,260,70.53257522325563
12,Michigan St.,B10,12-7,117.7424568005902,24,95.34586815690227,13,0.9188161512072812,12,20.265022429469642,10.73497757053036,12.26502242946964,7.73497757053036,4-4,0.6560567629068748,0.5719284401422856,0.7717332067081848,0.709872553530235,0.5719284401422856,0.7857418158936073,0.6993663299021924,0.7855005845656471,111.62693579278256,103.83090044844025,113.22747752532125,102.8004583531507,115.02327912549353,98.6230176267925,125.61467503967182,108.38969596908363,0.8450233323881309,8,-0.13395078261500026,571.0,547.0,525.0875,1.0874378079843836,1.0417311400480873,0.7950808886838887,0.5,-0.06735534142674976,60,353,66.14758165887625
13,Saint Mary's,WCC,15-6,113.46920947374544,63,92.08180919264112,3,0.9169661510296163,13,23.698970065316043,7.301029934683952,14.698970065316047,1.3010299346839531,6-0,0.5436621576435613,0.5790580931967841,0.4551723187605042,0.5244152573697252,0.5790580931967844,0.47318759878185745,0.8280652273363874,0.8058700764298807,108.38433002127628,105.16968510846819,108.04570799259834,105.96849561806573,121.84632936064168,90.0436591972964,119.6396769581956,108.81949962320023,0.7484063690407652,6,-0.1269769139029061,470.0,323.0,378.175,1.2428108679843988,0.8541019369339591,0.4839967667946693,1.0,-0.40612151484357795,70,350,62.78111957390434
14,Marquette,BE,14-5,115.99737893535618,42,95.5651725196608,14,0.9027561014924764,14,21.48263199367057,9.51736800632943,12.482631993670571,7.51736800632943,5-3,0.6705816751571829,0.6318241664157419,0.7238732496766644,0.7135637974974096,0.6318241664157419,0.7585205945923266,0.6657343411417431,0.701026486789046,111.4818628966445,102.0759197476208,112.77191712963821,101.51905256898718,110.00072157461534,94.17243707564337,113.89050506518291,94.50206665558133,0.8953020599117558,8,0.0361337610312672,593.0,556.0,564.3375,1.0507896427226615,0.9852260393824618,0.7816188245361015,0.625,2.5555339081760704,12,107,70.00622747250301
15,Wisconsin,B10,15-4,122.03233043980663,7,100.63607463577699,67,0.9017582409003255,15,22.181492394949576,8.818507605050424,14.18149239494958,5.818507605050424,7-1,0.6882459606662238,0.6172865568717774,0.7858151408835871,0.7393209106688217,0.6172865568717776,0.8064398052571957,0.6595776865030383,0.7231585367357942,110.84664316862332,101.34431193605886,112.48752591394043,100.21442338128513,124.35155498566394,99.00436250478346,132.79450255239112,111.66643733258924,0.8800386773800651,7,0.08572696721011475,618.0,549.0,519.0749999999999,1.1905793960410347,1.05765062852189,0.8201895815062681,0.875,3.6289147603902627,6,51,64.71551971798779
16,Creighton,BE,15-5,116.508855305368,38,96.17127806088192,17,0.9007977559303523,16,22.0698013396802,8.930198660319801,13.069801339680199,6.9301986603198005,6-3,0.6596886170739114,0.5764804543039689,0.7613874826816187,0.6940546673156495,0.5764804543039689,0.7587204844720736,0.6932632701675766,0.7795281524133059,111.3012887692043,103.31847462464607,112.1799833540018,102.56333713622301,109.75309397481146,91.35522950789884,110.34340271749754,93.27063717487025,0.8735875101139201,7,0.02663040481373269,659.0,617.0,632.0,1.0427215189873418,0.9762658227848101,0.7565383950279003,0.6666666666666666,2.6189028811999857,10,121,66.37866926750316
17,Kansas,B12,16-3,117.59920693343345,25,97.68453110747342,32,0.8941356907608866,17,21.865644263422926,9.134355736577072,9.865644263422928,8.134355736577074,4-2,0.6072026144890446,0.5309665813400422,0.7723806863118833,0.7074338168204407,0.5309665813400422,0.8348823757785061,0.6595201661727464,0.7794190071309512,109.03179512941513,102.25587810261294,111.81594529825374,99.70320184977514,122.90463838308294,101.33318097187622,115.62484004010015,94.47713269284907,0.910757507251713,6,0.0919587699296811,470.0,438.0,415.31249999999994,1.1316779533483825,1.0546275395033862,0.8661332205118176,0.6666666666666666,3.373637744062596,8,43,68.9954638627663
18,Dayton,A10,16-2,121.54355016908191,8,101.07261149797071,73,0.892926111899502,18,25.39673094617992,4.603269053820081,15.39673094617992,2.603269053820079,6-0,0.603616782043437,0.6328156257330484,0.5452190946642138,0.6189846538888156,0.6328156257330482,0.6097640059926601,0.7761281366210258,0.7208565182376311,108.7866278981456,103.11588067813344,108.65592683794037,102.93180806210844,114.17861694484915,90.70339406843023,125.723368692486,104.71273185288288,0.891187426806974,5,0.13480768115366593,440.0,362.0,386.24999999999994,1.1391585760517802,0.9372168284789646,0.6420364616568833,1.0,3.7599312909766867,5,9,62.930651819190096
19,St. John's,BE,13-7,116.71451439010957,36,97.23774973449136,29,0.8908620409955991,19,20.330907797737982,10.66909220226201,12.330907797737988,7.6690922022620125,5-4,0.6894404868303448,0.5611834002820119,0.8461991481671959,0.6892801461283943,0.5611834002820122,0.7597333563439045,0.7041182854510648,0.8145514261293944,111.76184198875134,102.7725855111399,112.03311314535736,102.81458155101242,116.25049426185319,92.91377524073108,120.75630923300807,101.31371183985996,0.882762766499594,7,-0.049495450942465435,660.0,618.0,615.0125,1.0731489197374036,1.0048576248450234,0.6889886175793936,0.5555555555555556,0.7862142013847581,45,273,69.56920762153739
20,SMU,Amer,13-6,113.60405701501159,61,94.78375860439674,12,0.8892293351141879,20,22.777518343075972,8.222481656924028,13.777518343075974,4.222481656924027,4-2,0.5240053620163105,0.4887488945302997,0.6003943749026676,0.5474427189567036,0.4887488945302997,0.5898327032646621,0.8220590533954805,0.8293839381771253,107.08560002821004,104.56659509567605,108.37863329721854,105.42403694850235,112.6521885113429,93.32516276658592,119.75806075959859,102.7903910564958,0.8528321794303844,3,-0.1187283769249089,446.0,382.0,407.3625,1.0948479548313848,0.9377397281291233,0.5845518674456593,0.6666666666666666,-0.9781085858085091,80,347,67.98677477917946
21,Kentucky,SEC,14-4,123.66468151308969,4,103.32103240023622,113,0.8876468314238072,21,21.85404263029747,9.14595736970253,11.203812089134992,6.796187910865007,4-2,0.5966298514630531,0.5016148804003662,0.7866597935884272,0.6671806229643498,0.5285240257642545,0.7673214987199742,0.7149594831223728,0.8261029039075068,108.67437556214641,103.91027040402246,110.80419114411315,102.10891292282062,124.03401875862907,104.5191827990273,127.87208207396668,106.82622814186173,0.8877547848640633,6,0.01730871682318258,526.0,511.0,453.07500000000005,1.160955691662528,1.127848590189262,0.7576523512857478,0.6666666666666666,1.5657478132436524,30,142,73.02527404410898
22,Baylor,B12,14-4,121.3356428568151,9,101.46507779217688,82,0.8866257080436959,22,20.812015771710527,10.187984228289476,9.812015771710524,8.187984228289476,3-2,0.5904216188069153,0.49697600784603807,0.8333802073051964,0.7031957002062503,0.49697600784603796,0.8521321446886256,0.6639486175283231,0.7967816924866566,109.88974751942682,103.97454748414543,112.38560088020465,101.10924217615583,116.00342771367539,98.21097440817795,126.67769825660014,109.33860427287834,0.8445867844783793,7,0.05459663671337511,355.0,344.0,332.70000000000005,1.0670273519687405,1.0339645326119626,0.859344428297637,0.6,2.2189295587518245,15,81,66.99548578429578
23,New Mexico,MWC,17-3,115.27242225047232,49,96.45053707340665,23,0.8859557976150143,23,24.60696306389321,6.393036936106787,12.606963063893213,5.393036936106787,5-2,0.5327000470626697,0.45194763360767165,0.6826688149076661,0.5932310952635172,0.45194763360767165,0.6952691509038501,0.7915018005698052,0.8756154968961511,108.12113136824229,105.01153117676456,109.3369819965147,103.92493014349789,115.28439974678807,95.88579723723896,106.13518185932442,96.09196168781257,0.7582650326836334,3,0.03426011326243916,585.0,516.0,512.5749999999999,1.1412963956494173,1.0066819489830758,0.7032875465377854,0.7142857142857143,1.887835188019596,23,111,73.86530539669758
24,Gonzaga,WCC,14-5,117.20758852425044,28,98.11385222189502,35,0.8854320591103286,24,22.24568002090803,7.754319979091976,12.895910562070506,3.104089437929495,5-1,0.5099625711331262,0.5361575189181862,0.453206850932163,0.5173203442820402,0.5631600671505876,0.47721058677206124,0.7959898781152454,0.7471987811305668,107.58069341560949,105.86460924487355,107.8167026953087,106.0760630610406,116.74272040262713,95.65179933045168,106.64163972237992,96.32497288975459,0.7631602157149427,3,-0.05820080452375398,531.0,407.0,438.32500000000005,1.2114298750926822,0.9285347630183083,0.49161282827600017,0.8333333333333334,-0.034991525068790774,59,285,70.54524002151629
25,Duke,ACC,14-4,120.23887600314376,14,101.0075821451843,72,0.8812452315802931,25,22.18982326494948,8.810176735050517,13.189823264949482,6.810176735050517,5-2,0.5602456060700804,0.5009898289203814,0.6533618273053217,0.6430149914826045,0.5009898289203814,0.7211288308918271,0.749043538750052,0.8137567724840898,107.28841364313593,104.40635608397776,109.44802340456582,102.62531756616502,117.19064201229995,100.32197006301153,132.16686090299336,103.2396063255009,0.9448331225232279,3,-0.00575916831727985,539.0,478.0,474.1125,1.1368609770887712,1.0081995307021012,0.7576187558999454,0.7142857142857143,0.968672883229068,39,182,68.07637011193984
26,Colorado,P12,15-5,117.1856258825572,29,98.64569961313245,40,0.8787432667732082,26,22.13820591469767,8.861794085302332,13.138205914697668,6.861794085302331,6-3,0.5990058646887695,0.4933555716152089,0.7281340006675658,0.6522839725932916,0.4933555716152087,0.7396945931312371,0.7558548969785421,0.8489679311807594,109.49066735024394,104.7402941531449,110.51607462619094,103.38323938031517,113.3528982573336,98.08301606946719,110.41023238934007,104.93725450168044,0.642139544319958,3,-0.0122170448812009,690.0,657.0,633.0625,1.0899397768782704,1.0378122223319182,0.7491532596924226,0.6666666666666666,0.9277281920752133,40,196,69.3083241337757
27,Indiana St.,MVC,17-3,120.9168057724191,13,102.26129703167366,94,0.872924982818805,27,26.195404487561472,4.804595512438531,17.195404487561472,2.8045955124385293,8-1,0.4886547928935137,0.38917045848410114,0.610246757171685,0.4991261331233883,0.389170458484101,0.5596017541749965,0.8319067515316902,0.8312820890128079,107.7709412698069,106.46208628524357,107.2390688295493,106.09049000445636,121.63494788571043,96.99408331765956,122.03423040348521,105.50985687610599,0.842004371843677,4,0.0666089415555241,747.0,629.0,632.5625,1.1809109771761683,0.9943681454401739,0.5181649335413424,0.8888888888888888,2.1202276977153476,19,60,71.1945837698066
28,San Diego St.,MWC,16-4,113.76132246675242,60,96.21561130453333,18,0.8728477682374838,28,23.282008442688547,7.717991557311458,12.282008442688545,5.717991557311456,5-2,0.6102774903625868,0.5937646631779863,0.6409441694197021,0.652273114017205,0.5937646631779862,0.6945292174010851,0.7350244378201035,0.7430086696542805,111.4372418975844,102.71095436948264,112.02490382870504,102.67461206341812,110.722465089103,93.64779343276011,123.31492264499468,99.13453586134504,0.9248420365907553,5,0.0918725341373895,515.0,465.0,475.9,1.0821601176717799,0.9770960285774323,0.7286287933892379,0.7142857142857143,2.8543047670784865,9,44,67.43786323813264
29,Utah,P12,14-6,117.14052090900762,31,99.14504701874472,45,0.8719251813194159,29,21.077565151591973,9.922434848408024,12.077565151591974,7.9224348484080265,5-4,0.6509782022531339,0.593715709154689,0.7209656938179001,0.684403399688461,0.5937157091546892,0.7342816294820353,0.7089347920089376,0.7173659073395091,110.32099380570791,102.00810467089634,111.10875271778713,101.7529012131797,113.63720682276181,98.52261176731743,130.20352446233528,110.7320406872277,0.8656269304482619,7,0.024696033028714037,692.0,648.0,632.4875,1.0940927686317912,1.0245261764066484,0.7451764859345097,0.5555555555555556,1.4810130998405011,32,127,70.14236004879093
30,Texas Tech,B12,15-3,119.44135106053903,16,101.2926399167193,77,0.8693625932410316,30,22.16651870660753,8.833481293392467,11.166518706607533,6.833481293392467,4-1,0.560244849921344,0.45779722328749134,0.826608679169361,0.6710659195405515,0.4577972232874915,0.8250933112788724,0.7142875538695143,0.8745022315698406,108.55975631273222,104.4126534544845,110.57312912656867,101.75226921284457,124.06108524069211,104.24719598260208,122.60207003995865,107.8196082363091,0.8142053038736972,5,0.08296027516690418,367.0,354.0,321.5375,1.1413909730591298,1.1009602301442287,0.8245104774748385,0.8,2.187072927812877,16,53,65.9048315756736
